source	Energy (keV)	Centroid	Error
Am241	59.5409	4.98E+02	1.27E-02
Eu152	121.7817	1.03E+03	2.77E-02
Eu152	244.6974	2.08E+03	7.92E-02
133Ba	276.3989	2.35E+03	9.38E-02
133Ba	302.8508	2.58E+03	6.27E-02
Eu152	344.2785	2.93E+03	5.16E-02
133Ba	356.0129	3.03E+03	3.80E-02
133Ba	383.8485	3.27E+03	1.06E-01
Cs137	661.657	5.64E+03	2.83E-02
Eu152	778.9045	6.65E+03	1.64E-01
Eu152	964.057	8.23E+03	1.81E-01
Eu152	1085.837	9.27E+03	2.53E-01
Eu152	1112.076	9.49E+03	2.12E-01
Co60	1173.228	9.93E+03	8.65E-02
Co60	1332.492	1.13E+04	9.85E-02
Eu152	1408.013	1.20E+04	2.08E-01
