#window:	Lower level(V) = 0.4	Upper level(V) = 2.8
x	y	z	time	counts	CountRate
-60.75	-71	20.25	20	125	6.25
-40.5	-71	20.25	20	182	9.1
-20.25	-71	20.25	20	375	18.75
0	-71	20.25	20	553	27.65
20.25	-71	20.25	20	493	24.65
40.5	-71	20.25	20	317	15.85
60.75	-71	20.25	20	277	13.85
-60.75	-71	40.5	20	346	17.3
-40.5	-71	40.5	20	580	29
-20.25	-71	40.5	20	750	37.5
0	-71	40.5	20	801	40.05
20.25	-71	40.5	20	952	47.6
40.5	-71	40.5	20	323	16.15
60.75	-71	40.5	20	257	12.85
-60.75	-71	60.75	20	232	11.6
-40.5	-71	60.75	20	273	13.65
-20.25	-71	60.75	20	318	15.9
0	-71	60.75	20	433	21.65
20.25	-71	60.75	20	393	19.65
40.5	-71	60.75	20	314	15.7
60.75	-71	60.75	20	227	11.35
-60.75	-71	81	20	159	7.95
-40.5	-71	81	20	144	7.2
-20.25	-71	81	20	150	7.5
0	-71	81	20	104	5.2
20.25	-71	81	20	102	5.1
40.5	-71	81	20	107	5.35
60.75	-71	81	20	68	3.4
-60.75	-71	121.5	20	9	0.45
-40.5	-71	121.5	20	15	0.75
-20.25	-71	121.5	20	23	1.15
0	-71	121.5	20	26	1.3
20.25	-71	121.5	20	39	1.95
40.5	-71	121.5	20	62	3.1
60.75	-71	121.5	20	70	3.5
-60.75	-71	141.75	20	22	1.1
-40.5	-71	141.75	20	33	1.65
-20.25	-71	141.75	20	57	2.85
0	-71	141.75	20	119	5.95
20.25	-71	141.75	20	97	4.85
40.5	-71	141.75	20	137	6.85
60.75	-71	141.75	20	175	8.75
-60.75	-71	182.25	20	108	5.4
-40.5	-71	182.25	20	153	7.65
-20.25	-71	182.25	20	93	4.65
0	-71	182.25	20	72	3.6
20.25	-71	182.25	20	73	3.65
40.5	-71	182.25	20	64	3.2
60.75	-71	182.25	20	71	3.55
-60.75	71	20.25	20	73	3.65
-40.5	71	20.25	20	251	12.55
-20.25	71	20.25	20	513	25.65
0	71	20.25	20	713	35.65
20.25	71	20.25	20	491	24.55
40.5	71	20.25	20	215	10.75
60.75	71	20.25	20	57	2.85
-60.75	71	40.5	20	41	2.05
-40.5	71	40.5	20	122	6.1
-20.25	71	40.5	20	234	11.7
0	71	40.5	20	327	16.35
20.25	71	40.5	20	248	12.4
40.5	71	40.5	20	143	7.15
60.75	71	40.5	20	42	2.1
-60.75	71	60.75	20	17	0.85
-40.5	71	60.75	20	57	2.85
-20.25	71	60.75	20	101	5.05
0	71	60.75	20	108	5.4
20.25	71	60.75	20	105	5.25
40.5	71	60.75	20	58	2.9
60.75	71	60.75	20	33	1.65
-60.75	71	81	20	39	1.95
-40.5	71	81	20	41	2.05
-20.25	71	81	20	52	2.6
0	71	81	20	49	2.45
20.25	71	81	20	43	2.15
40.5	71	81	20	64	3.2
60.75	71	81	20	37	1.85
-60.75	71	101.25	20	5	0.25
-40.5	71	101.25	20	35	1.75
-20.25	71	101.25	20	30	1.5
0	71	101.25	20	32	1.6
20.25	71	101.25	20	20	1
40.5	71	101.25	20	11	0.55
60.75	71	101.25	20	1	0.05
0	71	141.75	20	4	0.2
-60.75	0	20.25	20	492	24.6
-40.5	0	20.25	20	1738	86.9
-20.25	0	20.25	20	5017	250.85
0	0	20.25	20	7854	392.7
20.25	0	20.25	20	5237	261.85
40.5	0	20.25	20	1787	89.35
60.75	0	20.25	20	405	20.25
-60.75	0	40.5	20	223	11.15
-40.5	0	40.5	20	786	39.3
-20.25	0	40.5	20	1812	90.6
0	0	40.5	20	2538	126.9
20.25	0	40.5	20	1898	94.9
40.5	0	40.5	20	717	35.85
60.75	0	40.5	20	205	10.25
-60.75	0	60.75	20	97	4.85
-40.5	0	60.75	20	258	12.9
-20.25	0	60.75	20	481	24.05
0	0	60.75	20	588	29.4
20.25	0	60.75	20	524	26.2
40.5	0	60.75	20	250	12.5
60.75	0	60.75	20	124	6.2
-60.75	0	81	20	72	3.6
-40.5	0	81	20	98	4.9
-20.25	0	81	20	144	7.2
0	0	81	20	174	8.7
20.25	0	81	20	153	7.65
40.5	0	81	20	100	5
60.75	0	81	20	43	2.15
-60.75	0	101.25	20	16	0.8
-40.5	0	101.25	20	57	2.85
-20.25	0	101.25	20	66	3.3
0	0	101.25	20	58	2.9
20.25	0	101.25	20	51	2.55
40.5	0	101.25	20	25	1.25
60.75	0	101.25	20	18	0.9
0	0	141.75	20	11	0.55

