#window:	Lower level(V) = 0.4	Upper level(V) = 2.8
x	y	z	dist	time	counts	CountRate
-60.75	0	20.25	64.0361226184097	10	26283	2628.3
-40.5	0	20.25	45.2803765443707	10	60561	6056.1
-20.25	0	20.25	28.6378246380552	10	101793	10179.3
0	0	20.25	20.25	10	486388	48638.8
20.25	0	20.25	28.6378246380552	10	102495	10249.5
40.5	0	20.25	45.2803765443707	10	61482	6148.2
60.75	0	20.25	64.0361226184097	10	25932	2593.2
-60.75	0	40.5	73.0124133281458	10	20392	2039.2
-40.5	0	40.5	57.2756492761104	10	44362	4436.2
-20.25	0	40.5	45.2803765443707	10	69341	6934.1
0	0	40.5	40.5	10	81639	8163.9
20.25	0	40.5	45.2803765443707	10	70202	7020.2
40.5	0	40.5	57.2756492761104	10	45057	4505.7
60.75	0	40.5	73.0124133281458	10	20924	2092.4
-60.75	0	60.75	85.9134739141655	10	13051	1305.1
-40.5	0	60.75	73.0124133281458	10	26321	2632.1
-20.25	0	60.75	64.0361226184097	10	39006	3900.6
0	0	60.75	60.75	10	43589	4358.9
20.25	0	60.75	64.0361226184097	10	42519	4251.9
40.5	0	60.75	73.0124133281458	10	25869	2586.9
60.75	0	60.75	85.9134739141655	10	12750	1275
-60.75	0	81	101.25	10	8082	808.2
-40.5	0	81	90.5607530887415	10	16277	1627.7
-20.25	0	81	83.4928889187576	10	19706	1970.6
0	0	81	81	10	22169	2216.9
20.25	0	81	83.4928889187576	10	19799	1979.9
40.5	0	81	90.5607530887415	10	14411	1441.1
60.75	0	81	101.25	10	7125	712.5
-60.75	0	101.25	118.076775870617	10	5320	532
-40.5	0	101.25	109.049587344474	10	8664	866.4
-20.25	0	101.25	103.255145150254	10	10695	1069.5
0	0	101.25	101.25	10	11684	1168.4
20.25	0	101.25	103.255145150254	10	10835	1083.5
40.5	0	101.25	109.049587344474	10	7277	727.7
60.75	0	101.25	118.076775870617	10	6218	621.8
-60.75	0	141.75	154.219405393744	10	1107	110.7
-40.5	0	141.75	147.422225257931	10	1869	186.9
-20.25	0	141.75	143.189123190276	10	2460	246
0	0	141.75	141.75	10	2714	271.4
20.25	0	141.75	143.189123190276	10	2398	239.8
40.5	0	141.75	147.422225257931	10	2003	200.3
60.75	0	141.75	154.219405393744	10	1228	122.8
-60.75	0	182.25	192.108367855229	20	724	36.2
-40.5	0	182.25	186.695775260181	20	1061	53.05
-20.25	0	182.25	183.371549047283	20	1596	79.8
0	0	182.25	182.25	20	1296	64.8
20.25	0	182.25	183.371549047283	20	1232	61.6
40.5	0	182.25	186.695775260181	20	1425	71.25
60.75	0	182.25	192.108367855229	20	953	47.65
-60.75	71	20.25	95.61184550044	10	8007	800.7
-40.5	71	20.25	84.2099311245414	10	16746	1674.6
-20.25	71	20.25	76.5579845607236	10	26821	2682.1
0	71	20.25	73.8313111084992	10	30213	3021.3
20.25	71	20.25	76.5579845607236	10	26892	2689.2
40.5	71	20.25	84.2099311245414	10	17228	1722.8
60.75	71	20.25	95.61184550044	10	7908	790.8
-60.75	71	40.5	101.842095913232	10	6409	640.9
-40.5	71	40.5	91.2222560562936	10	13848	1384.8
-20.25	71	40.5	84.2099311245414	10	19821	1982.1
0	71	40.5	81.7389136213591	10	23367	2336.7
20.25	71	40.5	84.2099311245414	10	20591	2059.1
40.5	71	40.5	91.2222560562936	10	13318	1331.8
60.75	71	40.5	101.842095913232	10	6148	614.8
-60.75	71	60.75	111.454587164459	10	4334	433.4
-40.5	71	60.75	101.842095913232	10	8605	860.5
-20.25	71	60.75	95.61184550044	10	12411	1241.1
0	71	60.75	93.4428301155311	10	13774	1377.4
20.25	71	60.75	95.61184550044	10	12221	1222.1
40.5	71	60.75	101.842095913232	10	8823	882.3
60.75	71	60.75	111.454587164459	10	4334	433.4
-60.75	71	81	123.663100802139	10	2688	268.8
-40.5	71	81	115.074975559415	10	5007	500.7
